OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T16:35:48.7589978+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	GrantAccepted; ExitCode=0; 
2026-06-03T16:35:48.7612560+00:00	GrantTask	ExtractSeed08.extract-seed-08	ExtractSeed08.extract-seed-08; GrantId=grant-8; Attempt=1
2026-06-03T16:35:48.7620031+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskStarted; ExitCode=0; 
2026-06-03T16:35:48.7628569+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskStarted; ExitCode=0; 
2026-06-03T16:35:48.7887439+00:00	WorkerEvent	ExtractSeed08.extract-seed-08	GrantAccepted; ExitCode=0; 
2026-06-03T16:35:48.7922641+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	GrantAccepted; ExitCode=0; 
2026-06-03T16:35:48.8015395+00:00	WorkerEvent	ExtractSeed08.extract-seed-08	TaskStarted; ExitCode=0; 
2026-06-03T16:35:48.8045694+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	TaskStarted; ExitCode=0; 
2026-06-03T16:35:49.7806225+00:00	WorkerEvent	BridgeL05L06	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:35:49.7855965+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskSucceeded; ExitCode=0; 
2026-06-03T16:35:49.7923957+00:00	TaskSucceeded	ExtractSeed01.extract-seed-01	0
2026-06-03T16:35:49.7930512+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskSucceeded; ExitCode=0; 
2026-06-03T16:35:49.7980081+00:00	TaskSucceeded	ExtractSeed02.extract-seed-02	0
2026-06-03T16:35:49.7998388+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskSucceeded; ExitCode=0; 
2026-06-03T16:35:49.8010435+00:00	TaskSucceeded	ExtractSeed03.extract-seed-03	0
2026-06-03T16:35:49.8016645+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskSucceeded; ExitCode=0; 
2026-06-03T16:35:49.8065570+00:00	TaskSucceeded	ExtractSeed04.extract-seed-04	0
2026-06-03T16:35:49.8071458+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskSucceeded; ExitCode=0; 
2026-06-03T16:35:49.8079442+00:00	TaskSucceeded	ExtractSeed05.extract-seed-05	0
2026-06-03T16:35:49.8085257+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskSucceeded; ExitCode=0; 
