Field	Value
RunId	920feff9-c0a4-44a0-ab82-e7f372ee5f6a
WorkspacePath	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\ops\Orchestration
ProcessId	32200
ProcessName	meta-orchestration
MachineName	ADMINIS-5LOPR6R
AcquiredAtUtc	2026-06-14T07:34:00.4589810+00:00
ReleasedAtUtc	2026-06-14T07:35:15.1618052+00:00
