Status	Index	Total	Path	Target	ScriptName	FailureKind	ErrorSummary	Line	Column	Message
Success	1	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\001_load_H_ProductCategory.sql	dbo.H_ProductCategory	dbo.v_load_H_ProductCategory					
Success	2	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\002_load_HS_ProductCategory_ProductCategory.sql	dbo.HS_ProductCategory_ProductCategory	dbo.v_load_HS_ProductCategory_ProductCategory					
Success	3	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\003_load_H_ProductSubcategory.sql	dbo.H_ProductSubcategory	dbo.v_load_H_ProductSubcategory					
Success	4	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\004_load_HS_ProductSubcategory_ProductSubcategory.sql	dbo.HS_ProductSubcategory_ProductSubcategory	dbo.v_load_HS_ProductSubcategory_ProductSubcategory					
Success	5	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\005_load_H_Product.sql	dbo.H_Product	dbo.v_load_H_Product					
Success	6	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\006_load_HS_Product_Product.sql	dbo.HS_Product_Product	dbo.v_load_HS_Product_Product					
Success	7	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\007_load_L_ProductSubcategoryProductCategory.sql	dbo.L_ProductSubcategoryProductCategory	dbo.v_load_L_ProductSubcategoryProductCategory					
Success	8	8	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\Transforms\sql\008_load_L_ProductProductSubcategory.sql	dbo.L_ProductProductSubcategory	dbo.v_load_L_ProductProductSubcategory					
