OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:57:38.7728770+00:00	GrantTask	Layer03Node08.export-l03-n08	Layer03Node08.export-l03-n08; GrantId=grant-48; Attempt=1
2026-06-03T18:57:38.7733389+00:00	WorkerStarting	Layer07Node02	meta-pipeline
2026-06-03T18:57:38.8980959+00:00	WorkerStarted	Layer07Node02	31372
2026-06-03T18:57:38.8986679+00:00	WorkerControlPipe	Layer07Node02	meta-orchestration-b755a8e731b044a28a559bbd0103ad6f
2026-06-03T18:57:38.8989939+00:00	WorkerLog	Layer07Node02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\Layer07Node02-31372.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\Layer07Node02-31372.stderr.log
2026-06-03T18:57:38.8994690+00:00	WorkerEvent	Layer08Node07	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:57:38.9001369+00:00	WorkerEvent	Layer04Node09	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:38.9009267+00:00	WorkerEvent	Layer03Node08.export-l03-n08	GrantAccepted; ExitCode=0; 
2026-06-03T18:57:38.9029325+00:00	WorkerResuming	BridgeL07L08	ResumeTaskId=BridgeL07L08.bridge-l07-l08-collect; Executable=meta-pipeline
2026-06-03T18:57:39.0698829+00:00	WorkerStarted	BridgeL07L08	24596
2026-06-03T18:57:39.0708019+00:00	WorkerControlPipe	BridgeL07L08	meta-orchestration-2f8e305381ab4e08a1088def115ebf95
2026-06-03T18:57:39.0712349+00:00	WorkerLog	BridgeL07L08	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\BridgeL07L08-24596.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\BridgeL07L08-24596.stderr.log
2026-06-03T18:57:39.0717542+00:00	WorkerEvent	Layer07Node02	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:39.0728635+00:00	WorkerEvent	Layer08Node07.select-l08-n07	TaskReady; ExitCode=0; 
2026-06-03T18:57:39.0769615+00:00	WorkerEvent	Layer07Node02	WorkerReady; ExitCode=0; ready
2026-06-03T18:57:39.0818721+00:00	StartPipeline	Layer07Node02	Layer07Node02
2026-06-03T18:57:39.0841836+00:00	WorkerEvent	BridgeL03L04	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:57:39.0850495+00:00	WorkerEvent	Layer04Node09	WorkerReady; ExitCode=0; ready
2026-06-03T18:57:39.0857971+00:00	StartPipeline	Layer04Node09	Layer04Node09
2026-06-03T18:57:39.0864621+00:00	WorkerEvent	BridgeL03L04.bridge-l03-l04-collect	TaskReady; ExitCode=0; 
2026-06-03T18:57:39.0871626+00:00	WorkerEvent	Layer03Node08.export-l03-n08	TaskStarted; ExitCode=0; 
2026-06-03T18:57:39.0900286+00:00	GrantTask	Layer08Node07.select-l08-n07	Layer08Node07.select-l08-n07; GrantId=grant-49; Attempt=1
2026-06-03T18:57:39.0904756+00:00	WorkerResuming	CompositeMart	ResumeTaskId=CompositeMart.composite-stage; Executable=meta-pipeline
2026-06-03T18:57:39.2437142+00:00	WorkerStarted	CompositeMart	22948
2026-06-03T18:57:39.2441988+00:00	WorkerControlPipe	CompositeMart	meta-orchestration-f9d7bfcdf86a4940bce6477badd4cf91
2026-06-03T18:57:39.2445910+00:00	WorkerLog	CompositeMart	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\CompositeMart-22948.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\CompositeMart-22948.stderr.log
2026-06-03T18:57:39.2450544+00:00	WorkerEvent	Layer04Node04.refresh-l04-n04	TaskSucceeded; ExitCode=0; 
2026-06-03T18:57:39.2458989+00:00	TaskSucceeded	Layer04Node04.refresh-l04-n04	0
2026-06-03T18:57:39.2462940+00:00	WorkerEvent	Layer04Node04	Closed; ExitCode=-1; worker control channel closed
2026-06-03T18:57:39.2469150+00:00	PipelineCompleted	Layer04Node04	
2026-06-03T18:57:39.2551223+00:00	WorkerEvent	Layer08Node07.select-l08-n07	GrantAccepted; ExitCode=0; 
2026-06-03T18:57:39.2559253+00:00	WorkerEvent	BridgeL07L08	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:39.2565759+00:00	WorkerEvent	BridgeL05L06	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:57:39.2584207+00:00	WorkerResuming	Layer03Hub	ResumeTaskId=Layer03Hub.hub-l03-stage; Executable=meta-pipeline
2026-06-03T18:57:39.4109361+00:00	WorkerStarted	Layer03Hub	29784
2026-06-03T18:57:39.4114484+00:00	WorkerControlPipe	Layer03Hub	meta-orchestration-ebd31321a3c7484888fb6b5d64c05fe6
