OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T11:07:45.1898479+00:00	WorkerEvent	ExtractSeed02	WorkerReady; ExitCode=0; ready
2026-06-03T11:07:45.1910122+00:00	StartPipeline	ExtractSeed02	ExtractSeed02
2026-06-03T11:07:45.1931119+00:00	WorkerEvent	ExtractSeed03	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:45.1946182+00:00	WorkerStarting	ExtractSeed05	meta-pipeline
2026-06-03T11:07:45.4004096+00:00	WorkerStarted	ExtractSeed05	27716
2026-06-03T11:07:45.4021080+00:00	WorkerControlPipe	ExtractSeed05	meta-orchestration-da20365008064ef5aa75b6922d4a7c6a
2026-06-03T11:07:45.4028833+00:00	WorkerLog	ExtractSeed05	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed05-27716.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed05-27716.stderr.log
2026-06-03T11:07:45.4037807+00:00	WorkerEvent	ExtractSeed03	WorkerReady; ExitCode=0; ready
2026-06-03T11:07:45.4052437+00:00	StartPipeline	ExtractSeed03	ExtractSeed03
2026-06-03T11:07:45.4067050+00:00	WorkerEvent	ExtractSeed04	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:45.4082648+00:00	WorkerStarting	ExtractSeed06	meta-pipeline
2026-06-03T11:07:46.0980298+00:00	WorkerStarted	ExtractSeed06	7856
2026-06-03T11:07:46.0989683+00:00	WorkerControlPipe	ExtractSeed06	meta-orchestration-81244424fa7c4143a9bf08cda6a537f3
2026-06-03T11:07:46.0997398+00:00	WorkerLog	ExtractSeed06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed06-7856.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed06-7856.stderr.log
2026-06-03T11:07:46.1007491+00:00	WorkerEvent	ExtractSeed04	WorkerReady; ExitCode=0; ready
2026-06-03T11:07:46.1028892+00:00	StartPipeline	ExtractSeed04	ExtractSeed04
2026-06-03T11:07:46.1042144+00:00	WorkerEvent	ExtractSeed05	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:46.1055864+00:00	WorkerEvent	ExtractSeed06	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:46.1071947+00:00	WorkerStarting	ExtractSeed07	meta-pipeline
2026-06-03T11:07:47.1019229+00:00	WorkerStarted	ExtractSeed07	24648
2026-06-03T11:07:47.1028806+00:00	WorkerControlPipe	ExtractSeed07	meta-orchestration-5cfe93f501dd4a67a9bf30d2efc4119c
2026-06-03T11:07:47.1039002+00:00	WorkerLog	ExtractSeed07	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed07-24648.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed07-24648.stderr.log
2026-06-03T11:07:47.1051237+00:00	WorkerEvent	ExtractSeed05	WorkerReady; ExitCode=0; ready
2026-06-03T11:07:47.1066873+00:00	StartPipeline	ExtractSeed05	ExtractSeed05
2026-06-03T11:07:47.1079325+00:00	WorkerEvent	ExtractSeed06	WorkerReady; ExitCode=0; ready
2026-06-03T11:07:47.1197497+00:00	StartPipeline	ExtractSeed06	ExtractSeed06
2026-06-03T11:07:47.1210021+00:00	WorkerEvent	ExtractSeed07	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:47.1226123+00:00	WorkerStarting	ExtractSeed08	meta-pipeline
2026-06-03T11:07:48.1273170+00:00	WorkerStarted	ExtractSeed08	19284
2026-06-03T11:07:48.1283323+00:00	WorkerControlPipe	ExtractSeed08	meta-orchestration-04e6649fe631413d8bc9309a1a1e4653
