OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:15:40.1052289+00:00	WorkerEvent	BridgeL07L08	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:40.1060556+00:00	StartPipeline	BridgeL07L08	BridgeL07L08
2026-06-03T18:15:40.1065476+00:00	WorkerEvent	Layer01Hub	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:40.1069615+00:00	WorkerEvent	BridgeL03L04.bridge-l03-l04-collect	TaskReady; ExitCode=0; 
2026-06-03T18:15:40.1075144+00:00	WorkerEvent	BridgeL05L06.bridge-l05-l06-collect	TaskReady; ExitCode=0; 
2026-06-03T18:15:40.1081499+00:00	WorkerEvent	BridgeL01L02.bridge-l01-l02-collect	TaskReady; ExitCode=0; 
2026-06-03T18:15:40.1086292+00:00	WorkerEvent	CompositeMart	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:40.1090955+00:00	StartPipeline	CompositeMart	CompositeMart
2026-06-03T18:15:40.1094866+00:00	WorkerEvent	Layer01Hub	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:41.1157128+00:00	StartPipeline	Layer01Hub	Layer01Hub
2026-06-03T18:15:41.1169967+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	TaskStarted; ExitCode=0; 
2026-06-03T18:15:41.1180898+00:00	WorkerEvent	ExtractSeed08.extract-seed-08	GrantAccepted; ExitCode=0; 
2026-06-03T18:15:41.1197726+00:00	WorkerEvent	AuditHairball.audit-hairball	TaskReady; ExitCode=0; 
2026-06-03T18:15:41.1237040+00:00	WorkerStarting	Layer01Node01	meta-pipeline
2026-06-03T18:15:42.1323115+00:00	WorkerStarted	Layer01Node01	7628
2026-06-03T18:15:42.1330962+00:00	WorkerControlPipe	Layer01Node01	meta-orchestration-f4f4c3890b264e9faf3943bf42aeb8b5
2026-06-03T18:15:42.1335910+00:00	WorkerLog	Layer01Node01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node01-7628.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node01-7628.stderr.log
2026-06-03T18:15:42.1341345+00:00	WorkerEvent	Layer01Hub	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:15:42.1349640+00:00	WorkerEvent	CompositeMart	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:15:42.1358942+00:00	WorkerEvent	BridgeL07L08	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:15:42.1368857+00:00	WorkerEvent	ExtractSeed07.extract-seed-07	TaskSucceeded; ExitCode=0; 
2026-06-03T18:15:42.1375754+00:00	TaskSucceeded	ExtractSeed07.extract-seed-07	0
2026-06-03T18:15:42.1379503+00:00	PipelineCompleted	ExtractSeed07	
2026-06-03T18:15:42.1381604+00:00	WorkerEvent	ExtractSeed08.extract-seed-08	TaskStarted; ExitCode=0; 
2026-06-03T18:15:42.1386487+00:00	WorkerStarting	Layer01Node06	meta-pipeline
2026-06-03T18:15:42.2190709+00:00	WorkerStarted	Layer01Node06	21408
2026-06-03T18:15:42.2193849+00:00	WorkerControlPipe	Layer01Node06	meta-orchestration-38b49a560b584ba1994f27565b97082f
2026-06-03T18:15:42.2196199+00:00	WorkerLog	Layer01Node06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node06-21408.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node06-21408.stderr.log
2026-06-03T18:15:42.2199319+00:00	WorkerEvent	Layer01Hub.hub-l01-stage	TaskReady; ExitCode=0; 
2026-06-03T18:15:42.2204371+00:00	WorkerEvent	CompositeMart.composite-stage	TaskReady; ExitCode=0; 
2026-06-03T18:15:42.2209191+00:00	WorkerEvent	BridgeL07L08.bridge-l07-l08-collect	TaskReady; ExitCode=0; 
2026-06-03T18:15:42.2212337+00:00	WorkerEvent	ExtractSeed08.extract-seed-08	TaskSucceeded; ExitCode=0; 
2026-06-03T18:15:42.2215285+00:00	TaskSucceeded	ExtractSeed08.extract-seed-08	0
2026-06-03T18:15:42.2218238+00:00	PipelineCompleted	ExtractSeed08	
2026-06-03T18:15:42.2220989+00:00	WorkerEvent	Layer01Node01	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:42.2225874+00:00	WorkerStarting	Layer01Node07	meta-pipeline
2026-06-03T18:15:43.1492845+00:00	WorkerStarted	Layer01Node07	11476
2026-06-03T18:15:43.1500103+00:00	WorkerControlPipe	Layer01Node07	meta-orchestration-39d832b45be84e80b0e8e323134369b3
2026-06-03T18:15:43.1503545+00:00	WorkerLog	Layer01Node07	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node07-11476.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node07-11476.stderr.log
2026-06-03T18:15:43.1508018+00:00	WorkerEvent	Layer01Node06	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:43.1515712+00:00	WorkerEvent	Layer01Node01	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:43.1526214+00:00	StartPipeline	Layer01Node01	Layer01Node01
2026-06-03T18:15:43.1534784+00:00	WorkerEvent	Layer01Node06	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:44.1639618+00:00	StartPipeline	Layer01Node06	Layer01Node06
2026-06-03T18:15:44.1652759+00:00	WorkerEvent	Layer01Node07	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:44.1676552+00:00	WorkerStarting	Layer03Node09	meta-pipeline
2026-06-03T18:15:45.1652350+00:00	WorkerStarted	Layer03Node09	20704
2026-06-03T18:15:45.1659214+00:00	WorkerControlPipe	Layer03Node09	meta-orchestration-10f375f2bb3f40cba079a38cbc6c99d0
2026-06-03T18:15:45.1663834+00:00	WorkerLog	Layer03Node09	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer03Node09-20704.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer03Node09-20704.stderr.log
2026-06-03T18:15:45.1670502+00:00	WorkerEvent	Layer01Node06	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:15:45.1681045+00:00	WorkerEvent	Layer01Node07	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:45.1689377+00:00	StartPipeline	Layer01Node07	Layer01Node07
2026-06-03T18:15:45.1695891+00:00	WorkerEvent	Layer01Node06.refresh-l01-n06	TaskReady; ExitCode=0; 
2026-06-03T18:15:45.1701778+00:00	WorkerEvent	Layer01Node01	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:15:45.1706589+00:00	WorkerEvent	Layer03Node09	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:45.1720256+00:00	GrantTask	Layer01Node06.refresh-l01-n06	Layer01Node06.refresh-l01-n06; GrantId=grant-9; Attempt=1
2026-06-03T18:15:45.1723092+00:00	WorkerStarting	Layer01Node02	meta-pipeline
2026-06-03T18:15:46.1959215+00:00	WorkerStarted	Layer01Node02	22780
2026-06-03T18:15:46.1965716+00:00	WorkerControlPipe	Layer01Node02	meta-orchestration-482914c5944046218e5a34e36bfc6f4a
2026-06-03T18:15:46.1970127+00:00	WorkerLog	Layer01Node02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node02-22780.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\Layer01Node02-22780.stderr.log
2026-06-03T18:15:46.1974919+00:00	WorkerEvent	Layer01Node06.refresh-l01-n06	GrantAccepted; ExitCode=0; 
2026-06-03T18:15:46.1984069+00:00	WorkerEvent	Layer01Node01.export-l01-n01	TaskReady; ExitCode=0; 
2026-06-03T18:15:46.1993601+00:00	WorkerEvent	Layer03Node09	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:46.2001827+00:00	StartPipeline	Layer03Node09	Layer03Node09
2026-06-03T18:15:46.2010246+00:00	WorkerEvent	Layer01Node06.refresh-l01-n06	TaskStarted; ExitCode=0; 
2026-06-03T18:15:46.2015590+00:00	WorkerEvent	Layer01Node07	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:15:46.2022070+00:00	WorkerEvent	Layer01Node02	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:46.2046418+00:00	GrantTask	Layer01Node01.export-l01-n01	Layer01Node01.export-l01-n01; GrantId=grant-10; Attempt=1
2026-06-03T18:15:46.2050580+00:00	WorkerEvent	Layer01Node07.refresh-l01-n07	TaskReady; ExitCode=0; 
2026-06-03T18:15:46.2055760+00:00	WorkerEvent	Layer01Node02	WorkerReady; ExitCode=0; ready
2026-06-03T18:15:46.5078479+00:00	StartPipeline	Layer01Node02	Layer01Node02
2026-06-03T18:15:46.5087169+00:00	WorkerEvent	Layer01Node06.refresh-l01-n06	TaskSucceeded; ExitCode=0; 
2026-06-03T18:15:46.5092413+00:00	TaskSucceeded	Layer01Node06.refresh-l01-n06	0
2026-06-03T18:15:46.5097616+00:00	PipelineCompleted	Layer01Node06	
2026-06-03T18:15:46.5100760+00:00	WorkerEvent	Layer01Node01.export-l01-n01	GrantAccepted; ExitCode=0; 
